Month/Year,License Class,          Trips Per Day          ,          Farebox Per Day          ,           Unique Drivers           ,           Unique Vehicles           ,           Vehicles Per Day           ,         Avg Days Vehicles on Road         ,         Avg Hours Per Day Per Vehicle         ,         Avg Days Drivers on Road         ,         Avg Hours Per Day Per Driver         ,         Avg Minutes Per Trip         ,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2020-11,FHV - Livery," 24,674 ",          -          ," 5,319 "," 5,230 "," 3,327 ", 19.10 , 5.00 , 19.10 , 4.90 , 16.00 ,-,-
2020-11,FHV - Lux Limo, 457 ,          -          , 722 , 698 , 230 , 9.90 , 2.00 , 9.80 , 1.90 , 59.00 ,-,-
2020-11,Green," 2,953 "," 66,505 "," 1,137 "," 1,106 ", 610 , 16.60 , 4.00 , 16.40 , 3.90 , 18.20 ,77%,-
2020-11,Yellow," 50,285 "," 786,213 "," 6,314 "," 5,208 "," 3,868 ", 22.30 , 7.50 , 19.20 , 7.20 , 12.40 ,76%,-
2020-10,FHV - Black Car," 10,932 ",           -           ," 4,237 "," 4,215 "," 1,954 ", 14.40 , 4.40 , 14.40 , 4.30 , 24.00 ,-,-
2020-10,FHV - High Volume," 427,396 ",           -           ," 52,379 "," 52,290 "," 33,969 ", 20.10 , 6.80 , 20.30 , 6.70 , 17.00 ,-,-
2020-10,FHV - Livery," 24,640 ",           -           ," 5,398 "," 5,272 "," 3,306 ", 19.40 , 5.10 , 19.30 , 5.00 , 17.00 ,-,-
2020-10,FHV - Lux Limo, 527 ,           -           , 840 , 802 , 264 , 10.20 , 2.00 , 9.90 , 1.90 , 61.00 ,-,-
2020-10,Green," 3,067 "," 68,559 "," 1,137 "," 1,117 ", 605 , 16.80 , 4.10 , 16.70 , 4.10 , 18.40 ,76%,-
2020-10,Yellow," 54,221 "," 880,080 "," 6,144 "," 5,092 "," 3,728 ", 22.70 , 8.00 , 19.70 , 7.60 , 12.60 ,76%,-
2020-09,FHV - Black Car," 12,762 ",          -          ," 4,539 "," 4,543 "," 2,160 ", 14.30 , 4.50 , 14.30 , 4.50 , 25.00 ,-,-
2020-09,FHV - High Volume," 403,515 ",          -          ," 50,614 "," 50,419 "," 31,556 ", 18.80 , 6.90 , 21.20 , 6.90 , 17.50 ,-,-
2020-09,FHV - Livery," 24,339 ",          -          ," 5,102 "," 4,974 "," 3,204 ", 19.30 , 5.10 , 19.10 , 5.00 , 17.00 ,-,-
2020-09,FHV - Lux Limo, 479 ,          -          , 743 , 718 , 234 , 9.80 , 2.00 , 9.70 , 2.00 , 63.00 ,-,-
2020-09,Green," 2,932 "," 66,854 "," 1,123 "," 1,100 ", 575 , 15.70 , 4.10 , 15.50 , 4.10 , 18.60 ,76%,-
2020-09,Yellow," 44,646 "," 707,226 "," 5,706 "," 4,910 "," 3,257 ", 19.90 , 7.60 , 17.80 , 7.30 , 12.50 ,73%,-
2020-08,FHV - Black Car," 9,723 ",          -          ," 3,838 "," 3,856 "," 1,673 ", 13.50 , 4.40 , 13.50 , 4.40 , 24.00 ,-,-
2020-08,FHV - High Volume," 357,610 ",          -          ," 48,984 "," 48,680 "," 28,731 ", 18.30 , 6.70 , 18.40 , 6.60 , 17.00 ,-,-
2020-08,FHV - Livery," 25,507 ",          -          ," 5,405 "," 5,291 "," 3,263 ", 19.10 , 5.20 , 19.00 , 5.10 , 17.00 ,-,-
2020-08,FHV - Lux Limo, 449 ,          -          , 694 , 691 , 207 , 9.30 , 2.10 , 9.40 , 2.10 , 56.00 ,-,-
2020-08,Green," 2,614 "," 62,686 "," 1,142 "," 1,127 ", 544 , 15.00 , 4.00 , 15.00 , 3.90 , 18.70 ,74%,-
2020-08,Yellow," 32,491 "," 548,752 "," 5,371 "," 4,754 "," 2,790 ", 18.20 , 6.90 , 16.70 , 6.60 , 12.60 ,70%,-
2020-07,FHV - Black Car," 8,692 ",           -           ," 3,113 "," 3,128 "," 1,446 ", 14.30 , 4.60 , 14.40 , 4.60 , 25.00 , - ,-
2020-07,FHV - High Volume," 320,999 ",           -           ," 38,310 "," 38,380 "," 21,221 ", 17.10 , 7.20 , 17.30 , 7.20 , 16.00 ,-,-
2020-07,FHV - Livery," 23,110 ",           -           ," 4,473 "," 4,318 "," 2,760 ", 19.80 , 5.50 , 19.40 , 5.40 , 17.00 , - , - 
2020-07,FHV - Lux Limo, 436 ,           -           , 597 , 567 , 186 , 10.20 , 2.30 , 9.80 , 2.30 , 52.00 , - , - 
2020-07,Green," 2,330 "," 54,821 ", 937 , 925 , 430 , 14.40 , 4.30 , 14.40 , 4.20 , 18.10 ,73%,-
2020-07,Yellow," 25,816 "," 438,974 "," 3,988 "," 3,803 "," 1,952 ", 15.90 , 7.10 , 15.70 , 6.80 , 12.50 ,69%,-
2020-06,FHV - Black Car," 9,323 ",           -           ," 3,157 "," 3,165 "," 1,533 ", 14.50 , 4.60 , 14.60 , 4.60 , 22.00 ,-,-
2020-06,FHV - High Volume," 251,696 ",           -           ," 29,832 "," 30,131 "," 17,665 ", 17.60 , 7.10 , 17.90 , 7.00 , 16.00 ,-,-
2020-06,FHV - Livery," 22,723 ",           -           ," 4,250 "," 4,192 "," 2,770 ", 19.80 , 5.30 , 19.80 , 5.30 , 16.00 ,-,-
